NOMBRE;YEAR;MES;DESCRIPCION;NOMBRE;coordenadas;DESCRIPCION;puntomedio;FECHA;IDHALLAZGO;COMPONENTE;NOMENCLATURA;MARGEN;HALLAZGO1;HALLAZGO2;HALLAZGO 3;ESTADO;OBSERVACION;ESTADOANTERIOR;AFECTACION;NIVEL RIESGO;coordenadas;position;foto1;text1;foto2;text2;foto3;text3;foto4;text4;REFERENCIA;ZONA;TRAMO 1;ABSCISA_KM;REVISOR;SHAPE_LENG;DIAGNOSTICO;CRITICIDAD;TIPO DISEÑO;PROPUESTA;COSTO;COTA;LINK-DISEÑO
CI 743 DE 2021;2021;12;ESTUDIO DETALLADO DE AMENAZA POR INUNDACIÓN DEL RÍO MEDELLÍN EN EL TRAMO COMPRENDIDO ENTRE LA CLARA Y LA QUEBRADA LA JABALCONA, ESTUDIO DE SUSCEPTIBILIDAD A LA OCURRENCIA DE AVENIDAS TORRENCIALES EN EL SECTOR AGUAS ARRIBA DE LA CLARA Y, MONITOREO DEL TRAMO CANALIZADO DEL RÍO MEDELLÍN HASTA EL HATILLO EN EL VALLE DE ABURRÁ;Rio Medellin;LINESTRING (827793.4176000021 1172278.7277000025, 827820.1787999994 1172292.0141000012, 827854.6604000005 1172304.4935000003, 827881.4608000016 1172312.853, 827904.8361999992 1172320.0644999985, 827914.0883999993 1172319.1772999999, 827945.0235000019 1172323.6767999995, 837202.7187999999 1192178.5690000001 -0.0000234999978943, 837238.5947000002 1192203.8943000007 -0.0000234999978943, 837294.5729 1192232.0993000008 -0.0000234999978943, 837340.3947000001 1192249.0289999992 -0.0000234999978943, 837412.0606000004 1192269.1349999998 -0.0000234999978943, 837430.4627999999 1192273.7457999997 -0.0000234999978943);Contrato AMVA -Unal;{ 'lat': 11.922.737.457.999.900, 'lng': 11.922.737.457.999.900 };;0;PLACA;;M_DERECHA;;;;NA;;0;;;LINESTRING Z (-75.59967126789395 6.172467667763533 1534.556353000002, -75.5996695167824 6.172469004290262 1534.5549530000021, -75.59965914745317 6.1724792567199716 1534.027953000002, -75.59948975947036 6.172593789816944 1533.9169530000022, -75.59930021087693 6.1727298122859535 1533.722953000002, -75.59912446358292 6.1728520570110454 1533.4269530000022, -75.59886129953476 6.173039234680898 1533.077953000002, -75.59864112934297 6.17319620499557 1532.785953000002, -75.59850170240053 6.173295665648276 1532.574953000002, -75.59832990200175 6.173418959253489 1532.405953000002, -75.59813810391705 6.1735528120647265 1532.175953000002, -75.5979615888932 6.173679694188604 1531.9569530000022, -75.59781147543602 6.173779968976495 1531.645953000002, -75.59779380151626 6.173795822342911 1531.6119530000021, -75.5977093018682 6.173858838627653 1278.871553000002);{ 'lat': 6,173826963, 'lng': 6,173826963 };\Fotos_RioMed\Imagen1.png;info foto 1…;\Fotos_RioMed\Imagen1.png;info foto 1…;;;;;;SUR CANALIZADA;T1. Variante de Caldas - Estación Envigado;0;CM_HG , N_MR, S_AT;266,2746407;;;;;;;
CI 743 DE 2021;2021;12;ESTUDIO DETALLADO DE AMENAZA POR INUNDACIÓN DEL RÍO MEDELLÍN EN EL TRAMO COMPRENDIDO ENTRE LA CLARA Y LA QUEBRADA LA JABALCONA, ESTUDIO DE SUSCEPTIBILIDAD A LA OCURRENCIA DE AVENIDAS TORRENCIALES EN EL SECTOR AGUAS ARRIBA DE LA CLARA Y, MONITOREO DEL TRAMO CANALIZADO DEL RÍO MEDELLÍN HASTA EL HATILLO EN EL VALLE DE ABURRÁ;Rio Medellin;LINESTRING (827793.4176000021 1172278.7277000025, 827820.1787999994 1172292.0141000012, 827854.6604000005 1172304.4935000003, 827881.4608000016 1172312.853, 827904.8361999992 1172320.0644999985, 827914.0883999993 1172319.1772999999, 827945.0235000019 1172323.6767999995, 837202.7187999999 1192178.5690000001 -0.0000234999978943, 837238.5947000002 1192203.8943000007 -0.0000234999978943, 837294.5729 1192232.0993000008 -0.0000234999978943, 837340.3947000001 1192249.0289999992 -0.0000234999978943, 837412.0606000004 1192269.1349999998 -0.0000234999978943, 837430.4627999999 1192273.7457999997 -0.0000234999978943);Contrato AMVA -Unal;{ 'lat': 11.922.737.457.999.901, 'lng': 11.922.737.457.999.901 };;1;PLACA;;M_DERECHA;;;;NA;;0;;;LINESTRING Z (-75.63310972590477 6.15168536910301 1616.2169530000021, -75.6328550171726 6.151846661984762 1614.733953000002, -75.63256207566154 6.151953517996051 1614.056953000002, -75.63231356100387 6.152023022185955 1613.357953000002, -75.63212211112939 6.152069151557836 1612.7449530000022, -75.63197648744496 6.152086704172429 1612.4160530000022);{ 'lat': 6,151912551, 'lng': 6,151912551 };;;;;;;;;;SUR CANALIZADA;T1. Variante de Caldas - Estación Envigado;17,02429241;CM_HG , N_MR, S_AT;;;;;;;;
CI 743 DE 2021;2021;12;ESTUDIO DETALLADO DE AMENAZA POR INUNDACIÓN DEL RÍO MEDELLÍN EN EL TRAMO COMPRENDIDO ENTRE LA CLARA Y LA QUEBRADA LA JABALCONA, ESTUDIO DE SUSCEPTIBILIDAD A LA OCURRENCIA DE AVENIDAS TORRENCIALES EN EL SECTOR AGUAS ARRIBA DE LA CLARA Y, MONITOREO DEL TRAMO CANALIZADO DEL RÍO MEDELLÍN HASTA EL HATILLO EN EL VALLE DE ABURRÁ;Rio Medellin;LINESTRING (827793.4176000021 1172278.7277000025, 827820.1787999994 1172292.0141000012, 827854.6604000005 1172304.4935000003, 827881.4608000016 1172312.853, 827904.8361999992 1172320.0644999985, 827914.0883999993 1172319.1772999999, 827945.0235000019 1172323.6767999995, 837202.7187999999 1192178.5690000001 -0.0000234999978943, 837238.5947000002 1192203.8943000007 -0.0000234999978943, 837294.5729 1192232.0993000008 -0.0000234999978943, 837340.3947000001 1192249.0289999992 -0.0000234999978943, 837412.0606000004 1192269.1349999998 -0.0000234999978943, 837430.4627999999 1192273.7457999997 -0.0000234999978943);Contrato AMVA -Unal;{ 'lat': 11.922.737.457.999.902, 'lng': 11.922.737.457.999.902 };;2;PLACA;;M_IZQUIERDA;;;;NA;;0;;;LINESTRING Z (-75.63317397256786 6.151824438037254 1616.0639530000021, -75.6329330883447 6.15194501170331 1614.9299530000021, -75.63262266917542 6.152058478536345 1614.0249530000021, -75.63238104788192 6.152134680758927 1613.396953000002, -75.63217186048352 6.152199941215336 1612.7179530000021, -75.63208898515703 6.152192230534013 1612.3799530000022, -75.63195513136321 6.152212263643656 1612.153853000002);{ 'lat': 6,152047953, 'lng': 6,152047953 };;;;;;;;;;SUR CANALIZADA;T1. Variante de Caldas - Estación Envigado;17,0268207;CM_HG , N_MR, S_AT;;;;;;;;
CI 743 DE 2021;2021;12;ESTUDIO DETALLADO DE AMENAZA POR INUNDACIÓN DEL RÍO MEDELLÍN EN EL TRAMO COMPRENDIDO ENTRE LA CLARA Y LA QUEBRADA LA JABALCONA, ESTUDIO DE SUSCEPTIBILIDAD A LA OCURRENCIA DE AVENIDAS TORRENCIALES EN EL SECTOR AGUAS ARRIBA DE LA CLARA Y, MONITOREO DEL TRAMO CANALIZADO DEL RÍO MEDELLÍN HASTA EL HATILLO EN EL VALLE DE ABURRÁ;Rio Medellin;LINESTRING (827793.4176000021 1172278.7277000025, 827820.1787999994 1172292.0141000012, 827854.6604000005 1172304.4935000003, 827881.4608000016 1172312.853, 827904.8361999992 1172320.0644999985, 827914.0883999993 1172319.1772999999, 827945.0235000019 1172323.6767999995, 837202.7187999999 1192178.5690000001 -0.0000234999978943, 837238.5947000002 1192203.8943000007 -0.0000234999978943, 837294.5729 1192232.0993000008 -0.0000234999978943, 837340.3947000001 1192249.0289999992 -0.0000234999978943, 837412.0606000004 1192269.1349999998 -0.0000234999978943, 837430.4627999999 1192273.7457999997 -0.0000234999978943);Contrato AMVA -Unal;{ 'lat': 11.922.737.457.999.903, 'lng': 11.922.737.457.999.903 };1900-01-00;3;MURO;;M_IZQUIERDA;;;;NA;;0;;;LINESTRING (-75.63317801331522 6.151832522833863, -75.63293666914934 6.151953326538155, -75.63262557693469 6.152067038493351, -75.63238374900898 6.152143307307166, -75.6321728237001 6.152209108859869, -75.63208923920286 6.152201332448159, -75.6318099671753 6.152242818033219);{ 'lat': 6,152103085, 'lng': 6,152103085 };;;;;;;;;;SUR CANALIZADA;T1. Variante de Caldas - Estación Envigado;17,03499916;CM_HG , N_MR, S_AT;;;;;;;;
CI 743 DE 2021;2021;12;ESTUDIO DETALLADO DE AMENAZA POR INUNDACIÓN DEL RÍO MEDELLÍN EN EL TRAMO COMPRENDIDO ENTRE LA CLARA Y LA QUEBRADA LA JABALCONA, ESTUDIO DE SUSCEPTIBILIDAD A LA OCURRENCIA DE AVENIDAS TORRENCIALES EN EL SECTOR AGUAS ARRIBA DE LA CLARA Y, MONITOREO DEL TRAMO CANALIZADO DEL RÍO MEDELLÍN HASTA EL HATILLO EN EL VALLE DE ABURRÁ;Rio Medellin;LINESTRING (827793.4176000021 1172278.7277000025, 827820.1787999994 1172292.0141000012, 827854.6604000005 1172304.4935000003, 827881.4608000016 1172312.853, 827904.8361999992 1172320.0644999985, 827914.0883999993 1172319.1772999999, 827945.0235000019 1172323.6767999995, 837202.7187999999 1192178.5690000001 -0.0000234999978943, 837238.5947000002 1192203.8943000007 -0.0000234999978943, 837294.5729 1192232.0993000008 -0.0000234999978943, 837340.3947000001 1192249.0289999992 -0.0000234999978943, 837412.0606000004 1192269.1349999998 -0.0000234999978943, 837430.4627999999 1192273.7457999997 -0.0000234999978943);Contrato AMVA -Unal;{ 'lat': 11.922.737.457.999.904, 'lng': 11.922.737.457.999.904 };;4;ESTRUCTURA DE CAIDA;AZ 1E;NA;COLMATACION;;;BUENO;Se realizó remoción de barras de sedimento, el punto se encuentra bueno;1;;;LINESTRING Z (-75.63174976237534 6.152106235582085 1611.5859764999977, -75.63175594121753 6.1521859340788705 1611.057976499998, -75.6317725497528 6.15223890893247 1611.4069764999979);{ 'lat': 6,152172425, 'lng': 6,152172425 };;;;;;;;;;SUR CANALIZADA;T1. Variante de Caldas - Estación Envigado;17,11822346;;;;;;;;;
CI 743 DE 2021;2021;12;ESTUDIO DETALLADO DE AMENAZA POR INUNDACIÓN DEL RÍO MEDELLÍN EN EL TRAMO COMPRENDIDO ENTRE LA CLARA Y LA QUEBRADA LA JABALCONA, ESTUDIO DE SUSCEPTIBILIDAD A LA OCURRENCIA DE AVENIDAS TORRENCIALES EN EL SECTOR AGUAS ARRIBA DE LA CLARA Y, MONITOREO DEL TRAMO CANALIZADO DEL RÍO MEDELLÍN HASTA EL HATILLO EN EL VALLE DE ABURRÁ;Rio Medellin;LINESTRING (827793.4176000021 1172278.7277000025, 827820.1787999994 1172292.0141000012, 827854.6604000005 1172304.4935000003, 827881.4608000016 1172312.853, 827904.8361999992 1172320.0644999985, 827914.0883999993 1172319.1772999999, 827945.0235000019 1172323.6767999995, 837202.7187999999 1192178.5690000001 -0.0000234999978943, 837238.5947000002 1192203.8943000007 -0.0000234999978943, 837294.5729 1192232.0993000008 -0.0000234999978943, 837340.3947000001 1192249.0289999992 -0.0000234999978943, 837412.0606000004 1192269.1349999998 -0.0000234999978943, 837430.4627999999 1192273.7457999997 -0.0000234999978943);Contrato AMVA -Unal;{ 'lat': 11.922.737.457.999.905, 'lng': 11.922.737.457.999.905 };;5;ESTRUCTURA DE CAIDA;CD 1E;NA;NA;;;NA;no tiene;0;;;LINESTRING Z (-75.63172691967144 6.15211056864918 1610.9839764999979, -75.63174515625128 6.152188294915485 1610.251976499998, -75.63174410556267 6.1522432076840206 1610.7973764999979);{ 'lat': 6,152178388, 'lng': 6,152178388 };;;;;;;;;;SUR CANALIZADA;T1. Variante de Caldas - Estación Envigado;17,11965079;;;;;;;;;
CI 743 DE 2021;2021;12;ESTUDIO DETALLADO DE AMENAZA POR INUNDACIÓN DEL RÍO MEDELLÍN EN EL TRAMO COMPRENDIDO ENTRE LA CLARA Y LA QUEBRADA LA JABALCONA, ESTUDIO DE SUSCEPTIBILIDAD A LA OCURRENCIA DE AVENIDAS TORRENCIALES EN EL SECTOR AGUAS ARRIBA DE LA CLARA Y, MONITOREO DEL TRAMO CANALIZADO DEL RÍO MEDELLÍN HASTA EL HATILLO EN EL VALLE DE ABURRÁ;Rio Medellin;LINESTRING (827793.4176000021 1172278.7277000025, 827820.1787999994 1172292.0141000012, 827854.6604000005 1172304.4935000003, 827881.4608000016 1172312.853, 827904.8361999992 1172320.0644999985, 827914.0883999993 1172319.1772999999, 827945.0235000019 1172323.6767999995, 837202.7187999999 1192178.5690000001 -0.0000234999978943, 837238.5947000002 1192203.8943000007 -0.0000234999978943, 837294.5729 1192232.0993000008 -0.0000234999978943, 837340.3947000001 1192249.0289999992 -0.0000234999978943, 837412.0606000004 1192269.1349999998 -0.0000234999978943, 837430.4627999999 1192273.7457999997 -0.0000234999978943);Contrato AMVA -Unal;{ 'lat': 11.922.737.457.999.906, 'lng': 11.922.737.457.999.906 };;6;ESTRUCTURA DE CAIDA;AZ 2E;NA;COLMATACION;;;BUENO;Se realizó remoción de barras de sedimento, el punto se encuentra bueno;1;;;LINESTRING Z (-75.63090102993988 6.1522379898944255 1608.6499764999978, -75.63091578823399 6.152308521043281 1608.384976499998, -75.63092127904743 6.152373701620235 1608.4839764999979);{ 'lat': 6,15228643, 'lng': 6,15228643 };;;;;;;;;;SUR CANALIZADA;T1. Variante de Caldas - Estación Envigado;17,21233598;;;;;;;;;
CI 743 DE 2021;2021;12;ESTUDIO DETALLADO DE AMENAZA POR INUNDACIÓN DEL RÍO MEDELLÍN EN EL TRAMO COMPRENDIDO ENTRE LA CLARA Y LA QUEBRADA LA JABALCONA, ESTUDIO DE SUSCEPTIBILIDAD A LA OCURRENCIA DE AVENIDAS TORRENCIALES EN EL SECTOR AGUAS ARRIBA DE LA CLARA Y, MONITOREO DEL TRAMO CANALIZADO DEL RÍO MEDELLÍN HASTA EL HATILLO EN EL VALLE DE ABURRÁ;Rio Medellin;LINESTRING (827793.4176000021 1172278.7277000025, 827820.1787999994 1172292.0141000012, 827854.6604000005 1172304.4935000003, 827881.4608000016 1172312.853, 827904.8361999992 1172320.0644999985, 827914.0883999993 1172319.1772999999, 827945.0235000019 1172323.6767999995, 837202.7187999999 1192178.5690000001 -0.0000234999978943, 837238.5947000002 1192203.8943000007 -0.0000234999978943, 837294.5729 1192232.0993000008 -0.0000234999978943, 837340.3947000001 1192249.0289999992 -0.0000234999978943, 837412.0606000004 1192269.1349999998 -0.0000234999978943, 837430.4627999999 1192273.7457999997 -0.0000234999978943);Contrato AMVA -Unal;{ 'lat': 11.922.737.457.999.907, 'lng': 11.922.737.457.999.907 };;7;ESTRUCTURA DE CAIDA;CD 2E;NA;NA;;;NA;no tiene;0;;;LINESTRING Z (-75.63089347660058 6.152375693420447 1607.9549764999979, -75.63089157286974 6.152313532409299 1607.6099764999979, -75.63087410461665 6.1522425219189705 1607.8809764999978);{ 'lat': 6,152320199, 'lng': 6,152320199 };;;;;;;;;;SUR CANALIZADA;T1. Variante de Caldas - Estación Envigado;17,21510408;;;;;;;;;
CI 743 DE 2021;2021;12;ESTUDIO DETALLADO DE AMENAZA POR INUNDACIÓN DEL RÍO MEDELLÍN EN EL TRAMO COMPRENDIDO ENTRE LA CLARA Y LA QUEBRADA LA JABALCONA, ESTUDIO DE SUSCEPTIBILIDAD A LA OCURRENCIA DE AVENIDAS TORRENCIALES EN EL SECTOR AGUAS ARRIBA DE LA CLARA Y, MONITOREO DEL TRAMO CANALIZADO DEL RÍO MEDELLÍN HASTA EL HATILLO EN EL VALLE DE ABURRÁ;Rio Medellin;LINESTRING (827793.4176000021 1172278.7277000025, 827820.1787999994 1172292.0141000012, 827854.6604000005 1172304.4935000003, 827881.4608000016 1172312.853, 827904.8361999992 1172320.0644999985, 827914.0883999993 1172319.1772999999, 827945.0235000019 1172323.6767999995, 837202.7187999999 1192178.5690000001 -0.0000234999978943, 837238.5947000002 1192203.8943000007 -0.0000234999978943, 837294.5729 1192232.0993000008 -0.0000234999978943, 837340.3947000001 1192249.0289999992 -0.0000234999978943, 837412.0606000004 1192269.1349999998 -0.0000234999978943, 837430.4627999999 1192273.7457999997 -0.0000234999978943);Contrato AMVA -Unal;{ 'lat': 11.922.737.457.999.908, 'lng': 11.922.737.457.999.908 };1900-01-00;8;MURO;;M_IZQUIERDA;;;;NA;;0;;;LINESTRING (-75.6318099671753 6.152242818033219, -75.63092173917605 6.152383488125551, -75.63089442852542 6.152385644819983, -75.63061879166062 6.152427853251767, -75.63044572109952 6.152454547293836, -75.63020016291834 6.152493652515146, -75.62999145678168 6.152569972315023, -75.62995867740283 6.152572413333702, -75.62982606267846 6.152595641389281, -75.62957960834436 6.152632242334785, -75.6294729277074 6.152653267962826, -75.6294725142975 6.152653349614893);{ 'lat': 6,1524253, 'lng': 6,1524253 };;;;;;;;;;SUR CANALIZADA;T1. Variante de Caldas - Estación Envigado;17,24496469;CM_HG , N_MR, S_AT;;;;;;;;
CI 743 DE 2021;2021;12;ESTUDIO DETALLADO DE AMENAZA POR INUNDACIÓN DEL RÍO MEDELLÍN EN EL TRAMO COMPRENDIDO ENTRE LA CLARA Y LA QUEBRADA LA JABALCONA, ESTUDIO DE SUSCEPTIBILIDAD A LA OCURRENCIA DE AVENIDAS TORRENCIALES EN EL SECTOR AGUAS ARRIBA DE LA CLARA Y, MONITOREO DEL TRAMO CANALIZADO DEL RÍO MEDELLÍN HASTA EL HATILLO EN EL VALLE DE ABURRÁ;Rio Medellin;LINESTRING (827793.4176000021 1172278.7277000025, 827820.1787999994 1172292.0141000012, 827854.6604000005 1172304.4935000003, 827881.4608000016 1172312.853, 827904.8361999992 1172320.0644999985, 827914.0883999993 1172319.1772999999, 827945.0235000019 1172323.6767999995, 837202.7187999999 1192178.5690000001 -0.0000234999978943, 837238.5947000002 1192203.8943000007 -0.0000234999978943, 837294.5729 1192232.0993000008 -0.0000234999978943, 837340.3947000001 1192249.0289999992 -0.0000234999978943, 837412.0606000004 1192269.1349999998 -0.0000234999978943, 837430.4627999999 1192273.7457999997 -0.0000234999978943);Contrato AMVA -Unal;{ 'lat': 11.922.737.457.999.909, 'lng': 11.922.737.457.999.909 };;9;ESTRUCTURA DE CAIDA;AZ 3E;NA;COLMATACION;;;BUENO;Se realizó remoción de barras de sedimento, el punto se encuentra bueno;1;;;LINESTRING Z (-75.62998943399211 6.152560112609118 1606.0529764999978, -75.62997829555036 6.152469005373937 1605.6439764999977, -75.62996328220528 6.152382752705686 1606.1119764999978);{ 'lat': 6,152463569, 'lng': 6,152463569 };;;;;;;;;;SUR CANALIZADA;T1. Variante de Caldas - Estación Envigado;17,31768235;;;;;;;;;
